Player,G,MP,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Shai Gilgeous-Alexander,76,2598,860,1656,0.519,163,435,0.375,0.569,601,669,0.898,67,312,379,486,131,77,183,164,2484
Anthony Edwards,79,2871,721,1612,0.447,320,811,0.395,0.547,415,496,0.837,61,389,450,359,91,51,249,150,2177
Nikola Jokić,70,2571,786,1364,0.576,138,331,0.417,0.627,361,451,0.8,200,692,892,716,127,45,230,160,2071
Giannis Antetokounmpo,67,2289,793,1319,0.601,14,63,0.222,0.607,436,707,0.617,147,651,798,433,58,78,206,155,2036
Jayson Tatum,72,2624,662,1465,0.452,250,728,0.343,0.537,358,440,0.814,48,575,623,431,76,38,209,157,1932
Devin Booker,75,2795,654,1420,0.461,183,551,0.332,0.525,432,483,0.894,76,229,305,529,67,16,220,198,1923
Trae Young,76,2739,566,1376,0.411,218,642,0.34,0.491,491,561,0.875,36,200,236,880,91,12,355,145,1841
Tyler Herro,77,2725,651,1378,0.472,251,670,0.375,0.563,287,327,0.878,35,364,399,424,69,17,198,85,1840
Cade Cunningham,70,2452,684,1457,0.469,149,418,0.356,0.521,313,370,0.846,56,369,425,638,71,53,309,195,1830
James Harden,79,2789,531,1295,0.41,235,668,0.352,0.501,505,578,0.874,55,401,456,687,118,55,341,162,1802
Karl-Anthony Towns,72,2517,639,1215,0.526,142,338,0.42,0.584,339,409,0.829,212,708,920,222,71,50,192,249,1759
Zach LaVine,74,2602,625,1223,0.511,239,536,0.446,0.609,235,285,0.825,22,293,315,310,58,12,208,121,1724
Jalen Green,82,2697,608,1437,0.423,234,661,0.354,0.505,273,336,0.813,45,332,377,282,71,27,203,127,1723
Stephen Curry,70,2252,564,1258,0.448,311,784,0.397,0.572,279,299,0.933,40,270,310,421,80,30,200,95,1718
DeMar DeRozan,77,2768,624,1308,0.477,84,256,0.328,0.509,378,441,0.857,50,248,298,342,62,32,105,150,1710
LeBron James,70,2444,651,1270,0.513,149,396,0.376,0.571,259,331,0.782,72,474,546,575,70,39,260,99,1710
Donovan Mitchell,71,2232,585,1320,0.443,233,633,0.368,0.531,298,362,0.823,57,265,322,354,95,17,149,140,1701
