Name,id,Start-End,Games,FGm,FGa,FG3m,FG3a,mins,FTm,FTa,Reb,Ast,Stl,Blk,Tov,PF,Pts,FG%,FT%,FG3%,MVPs,All-Stars
LeBron James,2544,2003-24,1492,14837,29313,2410,6926,56596,8390,11404,11185,11009,2275,1111,5211,2682,40474,0.506157677,0.73570677,0.347964193,4,20
Kareem Abdul-Jabbar,76003,1969-89,1560,15837,28307,1,18,57446,6712,9304,17440,5660,1160,3189,2527,4657,38387,0.559472922,0.721410146,0.055555556,6,19
Kobe Bryant,977,1996-16,1346,11719,26200,1827,5546,48654,8378,10011,7047,6306,1944,640,4010,3353,33643,0.447290076,0.836879433,0.329426614,1,18
Tim Duncan,1495,1997-16,1392,10285,20334,30,168,47367,5896,8468,15091,4225,1025,3020,3381,3304,26496,0.505803088,0.696268304,0.178571429,2,15
Kevin Garnett,708,1995-16,1509,10648,21448,175,639,51366,4923,6235,14973,5522,1905,2054,3225,3670,26394,0.496456546,0.78957498,0.273865415,1,15
Shaquille O'Neal,406,1992-11,1268,11661,20015,1,22,43665,6105,11590,13653,3119,771,2820,3491,4374,29428,0.58261304,0.526747196,0.045454545,0,15
Kevin Durant,201142,2007-24,1108,10433,20737,2124,5478,40644,7300,8244,7767,4880,1158,1263,3520,2132,30290,0.503110382,0.885492479,0.387732749,1,14
Michael Jordan,893,1984-03,1072,12192,24537,581,1778,41008,7327,8772,6672,5633,2514,893,2924,2783,32292,0.496882259,0.835271318,0.326771654,5,14
Karl Malone,252,1985-04,1476,13528,26210,85,310,54852,9787,13188,14968,5248,2085,1145,4524,4578,36928,0.516138878,0.742114043,0.274193548,2,14
Dirk Nowitzki,1717,1998-19,1522,11169,23734,1982,5210,51369,7240,8239,11489,3651,1210,1281,2494,3601,31560,0.470590714,0.878747421,0.380422265,1,14
Jerry West,78497,1960-74,932,9016,19032,0,0,36571,7160,8801,5376,6238,81,23,0,2435,25192,0.473728457,0.813543915,0,0,14
Wilt Chamberlain,76375,1959-73,1118,13744,25580,0,0,51160,6465,12742,25597,4893,0,0,0,2221,33953,0.537294762,0.507377178,0,4,13
Bob Cousy,600003,1950-70,924,6168,16468,0,0,30165,4624,5756,4786,6955,0,0,0,2242,16960,0.374544571,0.80333565,0,1,13
John Havlicek,76970,1962-78,1270,10513,23930,0,0,46471,5369,6589,8007,6114,476,117,204,3281,26395,0.439323025,0.81484292,0,0,13
Dwyane Wade,2548,2003-19,1121,8753,18299,581,1985,37313,5843,7652,5185,5929,1681,932,3466,2452,23930,0.478332149,0.763591218,0.292695214,0,13
Larry Bird,1449,1979-92,897,8591,17334,649,1727,34443,3960,4471,8974,5695,1556,755,2816,2279,21791,0.495615553,0.885707895,0.375796178,3,12
Elvin Hayes,76979,1968-84,1303,10976,24272,5,34,50000,5356,7999,16279,2398,864,1771,1358,4193,27313,0.452208306,0.669583698,0.147058824,0,12
Magic Johnson,77142,1979-96,906,6211,11951,325,1074,33245,4960,5850,6559,10141,1724,374,3506,2050,17707,0.519705464,0.847863248,0.302607076,3,12
Moses Malone,77449,1976-95,1411,9824,20035,8,80,47577,8836,11530,17284,1885,1156,1914,3804,3351,28492,0.490341902,0.766348656,0.1,3,12
Hakeem Olajuwon,165,1984-02,1238,10749,20991,25,124,44216,5423,7621,13748,3058,2162,3830,3667,4383,26946,0.512076604,0.711586406,0.201612903,1,12
Chris Paul,101108,2005-24,1272,7898,16769,1720,4658,43317,4772,5487,5682,11894,2614,200,2964,3034,22288,0.470988133,0.869691999,0.369257192,0,12
Oscar Robertson,600015,1960-74,1040,9508,19620,0,0,43886,7694,9185,7804,9887,77,4,0,2931,26710,0.484607543,0.837670114,0,1,12
Bill Russell,78049,1956-69,963,5687,12930,0,0,40726,3148,5614,21620,4100,0,0,0,2592,14522,0.439829853,0.560741005,0,5,12
Dolph Schayes,78076,1949-64,996,5863,15427,0,0,29800,6712,7904,11256,3072,0,0,0,3432,18438,0.380047968,0.849190283,0,0,12
Isiah Thomas,78318,1981-94,979,7194,15904,398,1373,35516,4036,5316,3478,9061,1861,249,3682,2971,18822,0.452339034,0.759217457,0.289876184,0,12
Charles Barkley,787,1984-00,1073,8435,15605,538,2020,39331,6349,8643,12546,4215,1648,888,3376,3287,23757,0.540531881,0.734582899,0.266336634,1,11
Elgin Baylor,76127,1958-72,846,8693,20171,0,0,33863,5763,7391,11463,3650,0,0,0,2596,23149,0.430965247,0.779732107,0,0,11
Chris Bosh,2547,2003-16,893,6209,12581,305,910,31936,4466,5591,7592,1795,730,932,1807,2159,17189,0.493521978,0.79878376,0.335164835,0,11
Julius Erving,76681,1976-87,836,7237,14276,46,176,28677,3844,4950,5601,3224,1508,1293,2323,2286,18364,0.506934716,0.776565657,0.261363636,1,11
Patrick Ewing,121,1985-02,1183,9702,19241,19,125,40594,5392,7289,11607,2215,1136,2894,3537,4034,24815,0.504235747,0.739744821,0.152,0,11
Patrick Ewing,201607,2010-11,7,0,5,0,2,19,3,4,2,2,0,1,1,1,3,0,0.75,0,0,11
Allen Iverson,947,1996-10,1064,9532,22369,1158,3704,43295,7235,9256,3839,6488,2213,185,3740,2006,27457,0.426125441,0.781655143,0.312634989,1,11
Bob Pettit,77847,1954-65,792,7349,16872,0,0,30690,6182,8119,12849,2369,0,0,0,2529,20880,0.435573732,0.761423821,0,2,11
Ray Allen,951,1996-14,1376,9165,20318,3174,7962,49230,4714,5265,5653,4695,1554,258,2907,3078,26218,0.451077862,0.895346629,0.398643557,0,10
Carmelo Anthony,2546,2003-22,1337,10803,24146,1826,5124,46264,6827,8369,8371,3643,1291,690,3258,3767,30259,0.447403297,0.815748596,0.356362217,0,10
Paul Arizin,76056,1950-62,713,5628,13354,0,0,24897,5010,6189,6129,1665,0,0,0,2764,16266,0.421446758,0.809500727,0,0,10
Stephen Curry,201939,2009-24,956,8084,17098,3747,8805,32725,3753,4125,4509,6119,1473,235,2987,2215,23668,0.472803837,0.909818182,0.425553663,2,10
Clyde Drexler,17,1983-98,1162,8906,18911,974,3011,40266,5062,6404,7157,6487,2343,764,3163,3491,23848,0.470942838,0.790443473,0.323480571,0,10
Hal Greer,76882,1958-73,1122,8504,18811,0,0,39788,4578,5717,5665,4540,0,0,0,3855,21586,0.452075913,0.800769634,0,0,10
James Harden,201935,2009-24,1181,8392,19041,3209,8864,41251,8407,9759,6865,8771,1732,669,4380,2947,28400,0.440733155,0.861461215,0.362026173,1,10
Jason Kidd,467,1994-13,1526,6737,16879,2168,6178,54989,3350,4284,9574,13393,2944,496,4411,2851,18992,0.39913502,0.781979458,0.350922629,0,10
Paul Pierce,1718,1998-17,1343,8668,19465,2143,5816,45884,6918,8578,7527,4708,1752,745,3532,3643,26397,0.445312099,0.806481697,0.3684663,0,10
David Robinson,764,1989-03,987,7365,14221,25,100,34269,6035,8201,10497,2441,1388,2954,2417,2835,20790,0.517896069,0.735885868,0.25,1,10
John Stockton,304,1984-03,1504,7039,13658,845,2202,47762,4788,5796,4051,15806,3265,315,4244,3942,19711,0.515375604,0.826086957,0.383742053,0,10
Anthony Davis,203076,2012-24,736,6630,12679,340,1145,25410,4117,5177,7825,1828,974,1705,1460,1742,17717,0.522911902,0.795248213,0.296943231,0,9
Paul George,202331,2010-24,867,6155,13983,2253,5859,29182,3469,4063,5465,3191,1464,381,2317,2317,18032,0.440177358,0.853802609,0.38453661,0,9
George Gervin,76804,1976-86,791,8045,15747,77,259,26536,4541,5383,3607,2214,941,670,2137,2331,20708,0.510890963,0.843581646,0.297297297,0,9
Robert Parish,305,1976-97,1611,9614,17914,0,6,45704,4106,5694,14715,2180,1219,2361,3183,4443,23334,0.536675226,0.72110994,0,0,9
Gary Payton,56,1990-07,1415,9373,20164,1186,3752,50328,3515,4832,5603,9629,2578,305,3217,3398,23447,0.464838326,0.727442053,0.316098081,0,9
Russell Westbrook,201566,2008-24,1235,9487,21650,1362,4472,41206,6034,7826,8730,10019,1925,402,4842,3131,26370,0.438198614,0.771019678,0.304561717,1,9
Lenny Wilkens,78530,1960-75,1077,6189,14327,0,0,38064,5394,6973,5030,7211,174,26,0,3285,17772,0.431981573,0.773555141,0,0,9
Dominique Wilkins,1122,1982-99,1148,10661,23177,796,2526,40750,6473,7960,7650,2846,1470,672,2841,2187,28591,0.459981879,0.813190955,0.315122724,0,9
Giannis Antetokounmpo,203507,2013-24,792,6732,12349,528,1845,25945,4510,6427,7732,3855,903,986,2380,2376,18502,0.545145356,0.701727089,0.286178862,2,8
Rick Barry,600013,1965-80,794,7252,16163,73,221,28825,3818,4243,5168,4017,1104,269,574,2264,18395,0.448679082,0.899835022,0.330316742,0,8
Vince Carter,1713,1998-20,1691,10378,23771,2533,6802,51250,5347,6715,7282,5187,1706,956,2848,4431,28636,0.43658239,0.796276992,0.372390473,0,8
Dave Cowens,76462,1970-83,766,5744,12499,1,14,29565,2027,2590,10444,2910,599,488,543,2920,13516,0.459556765,0.782625483,0.071428571,1,8
Dave DeBusschere,76545,1962-74,951,6228,14389,0,0,34145,2838,4058,10506,2688,67,39,0,3091,15294,0.432830635,0.69935929,0,0,8
Alex English,76673,1976-91,1271,11212,22149,20,89,40464,4487,5407,7143,4575,1140,895,3035,3233,26931,0.506207955,0.829850194,0.224719101,0,8
